genesymbol,entrezgene,variant_name,variant_description,variant_groups,api_url,api_variant_id,chromosome,chr_start,chr_stop,refbase,altbase,refbuild,evidence_type,evidence_level,evidence_description,evidence_direction,clinical_significance,variant_origin,status,type,pubmed_id,pubmed_html_link,disease_name,disease_ontology_id,disease_url,drug_names,drug_interaction_type,rating
EGFR,1956,Ex19 del L858R,NA,NA,https://civic.genome.wustl.edu/api/variants/1854,1854,,NA,NA,NA,NA,NA,Predictive,C: Case study,"A phase 2 study of 120 stage IIIB-IV lung adenocarcinoma patients reported improved progression free survival in patients with EGFR mutation (defined as exon 19 deletion or exon 21 mutation) when treated (n=13) with gefitinib and pemetrexed/platinum combination therapy (HR: 0.20, 95% CI: 0.05-0.75, P=0.017) as compared to treatment (n=18) with pemtrexed/platinum alone.  In the subgroup of patients without EGFR mutation (defined as all patients without the specific EGFR exon 19 deletion or L858R mutation) a difference in median PFS was not seen between the chemotherapy versus chemotherapy with gefitinib treatment groups.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,24755888,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24755888' target='_blank'>Yu et al., 2014, Cancer Biol. Ther.</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Gefitinib,NA,4
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,D: Preclinical evidence,"Lung cancers can accumulate activating mutations in oncogenes such as EGFR. The common L858R EGFR mutation has been shown previously to be sensitive to small molecular tyrosine kinase inhibitors (ie. erlotinib). In response, tumors may accumulate an additional 'gatekeeper' mutation in EGFR, T790M. Authors show that T790M retain low affinity for gefitinib and that introduction of T790M in the presence of L858R mutant increases the ATP affinity of L858R and activates wild-type EGFR, thus showing that increased ATP affinity is the primary mode of resistance in tumors with T790M, though irreversible ATP inhibitors (ie. HKI-272) are able to overcome this resistance via covalent bonding.",Supports,Resistance or Non-Response,Somatic Mutation,accepted,evidence,18227510,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/18227510' target='_blank'>Yun et al., 2008, Proc. Natl. Acad. Sci. U.S.A.</a>",Lung Cancer,1324,http://www.disease-ontology.org/?id=DOID:1324,"Gefitinib, AEE788",Sequential,5
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,B: Clinical evidence,"In a phase1-2 study, patients with the T790M mutation were more sensitive to rocelitinib in comparison to patients with T790M-negative NSCLC.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,25923550,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/25923550' target='_blank'>Sequist et al., 2015, N. Engl. J. Med.</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Rociletinib,NA,4
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,A: Validated,"The T790M mutation in EGFR has been shown to confer resistance to the tyrosine kinase inhibitor erlotinib, and patients harboring this mutation that are placed on the drug are likely to relapse.",Supports,Resistance or Non-Response,Somatic Mutation,accepted,evidence,25668228,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/25668228' target='_blank'>Denis et al., 2015, Clin. Chim. Acta</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Erlotinib,NA,5
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,B: Clinical evidence,"In non-small cell lung cancer, the appearance of T790M mutation leads to resistance to gefitinib.",Supports,Resistance or Non-Response,Somatic Mutation,accepted,evidence,15728811,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/15728811' target='_blank'>Kobayashi et al., 2005, N. Engl. J. Med.</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Gefitinib,NA,3
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,B: Clinical evidence,"In Lung Cancer patients with acquired resistance to Dacomitinib (PF00299804), MET amplification and EGFR T790M were found to be the primary drivers of resistance.",Supports,Resistance or Non-Response,Somatic Mutation,accepted,evidence,21430269,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/21430269' target='_blank'>Sequist et al., 2011, Sci Transl Med</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Dacomitinib,NA,4
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,C: Case study,"In an NSCLC patient initially with L858R mutation, pemetrexed and cisplatin combination treatment was followed by erlotinib treatment. A slow progression developed which was found to be positive for L858R as well as T790M mutation which confers resistance to tyrosine kinase inhibitors. Due to slow tumor growth erlotinib was continued despite T790M, with re-addition of premetrexed, and this reduced tumor size and resulted in stable disease.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,24636847,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24636847' target='_blank'>Li et al., 2014, Lung Cancer</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,"Erlotinib, Pemetrexed",Combination,3
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,E: Indirect evidence,"In NSCLC containing a T790M mutation, staurosporine may be inhibitive of EGFR, especially when an L858R mutation is also present.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,24658966,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24658966' target='_blank'>Ai et al., 2014, Amino Acids</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Staurosporine,NA,1
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,D: Preclinical evidence,"In an in vitro study, a Ba/F3 cell line expressing EGFR S752_I759del demonstrated increased sensitivity to erlotinib treatment (IC50=33nM), comparable to Ba/F3 cells expressing EGFR L858R (a known sensitizing mutation to EGFR tyrosine kinase inhibitors; IC50=16nM). Sensitivity was determined by assessing IL-3 independent cell survival.",Supports,Sensitivity,Somatic Mutation,submitted,evidence,17877814,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/17877814' target='_blank'>de Gunst et al., 2007, Mol. Cancer</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Erlotinib,NA,NA
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,C: Case study,"In a lung adenocarcinoma patient with EGFR E746_A751>A (a known erlotinib sensitizing mutation) and EGFR T790M co-mutation treated with erlotinib monotherapy, EGFR T790M was associated with disease progression. The patient was treated with erlotinib monotherapy and achieved a 10 month response rate, but subsequently developed disease progression upon emergence of the EGFR T790M mutation.",Supports,Resistance or Non-Response,Somatic Mutation,submitted,evidence,17085664,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/17085664' target='_blank'>Balak et al., 2006, Clin. Cancer Res.</a>",Lung Adenocarcinoma,3910,http://www.disease-ontology.org/?id=DOID:3910,Erlotinib,NA,NA
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,C: Case study,"In a study of 6 patients with progressive non-small cell lung cancer during gefitinib or erlotinib therapy,  comparison of DNA sequences from the original diagnostic biopsy specimen and the second biopsy specimen demonstrated that 2 patients acquired a new EGFR-T790M mutation.",Supports,Resistance or Non-Response,Somatic Mutation,submitted,evidence,15737014,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/15737014' target='_blank'>Pao et al., 2005, PLoS Med.</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Erlotinib,NA,NA
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,D: Preclinical evidence,"In an in vitro study, a NCI-H1975 cell line expressing EGFR L858R and EGFR T790M co-mutation, EGFR T790M was associated with reduced sensitivity to erlotinib treatment compared to QG56 cells expressing EGFR wild-type. Sensitivity was determined by assessing cell viability (mean IC50 of erlotinib for cells expressing EGFR L858R and EGFR T790M co-mutations was 4.3 锟組 vs. 8.9 锟組 for EGFR wild-type expressing cells).",Supports,Resistance or Non-Response,Somatic Mutation,submitted,evidence,25853010,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/25853010' target='_blank'>Abourbeh et al., 2015, EJNMMI Res</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Erlotinib,NA,NA
EGFR,1956,T790M,"EGFR T790M was one of the very first mutations recognized to confer resistance to targeted therapies in non-small cell lung cancer. While successful in amplified EGFR, the efficacy of the first and second generation TKI's (erlotinib, gefitinib, neratinib) in treating patients harboring this mutation before treatment is notably lower. This lack of efficacy can likely be to blame for the poorer prognosis for patients with this mutation as compared to patients with wildtype EGFR or other types of EGFR mutations. Approximately half of EGFR mutant tumors with acquired resistance to TKI inhibition have been shown to harbor this mutation, implicating it as a mechanism of acquired therapy resistence. A third generation TKI (osimertinib) has been approved for the treatment of EGFR T790M mutant NSCLC. Patients positive for T790M in a plasma-based test have similar outcomes like those with tumor biopsy testing.",EGFR TKI Resistance,https://civic.genome.wustl.edu/api/variants/34,34,7,55249071,55249071,C,T,GRCh37,Predictive,D: Preclinical evidence,"Cell line, xenograft, and transgenic models were used to establish Osimertinib as an inhibitor of both EGFR mutation sensitizing (L858M, del exon 19) and T790M resistance mutants. Preclinically, the drug inhibits signaling pathways and cellular growth in both EGFRm(+) and EGFRm(+)/T790M(+) mutant cell lines in vitro, with lower activity against wild-type EGFR lines. Sustained tumor regression was observed in EGFR-mutant tumor xenograft and transgenic models. Treatment of 2 patients with advanced EGFRm(+) T790M(+) NSCLC was reported as proof of principle.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,24893891,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24893891' target='_blank'>Cross et al., 2014, Cancer Discov</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,Osimertinib,NA,3
